Site ID,Cell,azimuth,Sector,Technology,CellId,CellName,OnAirStatus,ARFCN,Coverage_Objective,Band,Mtilt,Etilt,TAC,PCI,Long,Lat,BW,drop call rate
195901,9,20,5,LTE,19590195,LTEOutdoor19590195,Unlocked,3600,Outdoor,900,12,6,10001,327,136.902249,35.1539818,60,0.057
195901,9,10,6,LTE,19590196,LTEOutdoor19590196,Unlocked,3600,Outdoor,900,4,5,10001,248,136.8985121,35.1498227,60,2.05
196047,9,-1,1,LTE,19604791,LTEIndoor19604791,Unlocked,3600,Indoor,900,0,0,10003,406,136.916251,35.145027,60,0.0317
196047,9,-1,2,LTE,19604792,LTEIndoor19604792,Unlocked,3600,Indoor,900,0,0,10003,407,136.916251,35.145027,60,0.0193
196048,9,-1,1,LTE,19604891,LTEIndoor19604891,Unlocked,3600,Indoor,900,0,0,10002,436,136.941241,35.144527,60,0.0155
196048,9,-1,2,LTE,19604892,LTEIndoor19604892,Unlocked,3600,Indoor,900,0,0,10002,435,136.941241,35.144527,60,0.0085
196071,9,-1,1,LTE,19607191,LTEIndoor19607191,Unlocked,3600,Indoor,900,0,0,10006,419,136.950341,35.146397,60,0.0729
196071,9,-1,2,LTE,19607192,LTEIndoor19607192,Unlocked,3600,Indoor,900,0,0,10006,392,136.950341,35.146397,60,0.0067
196094,9,-1,1,LTE,19609491,LTEIndoor19609491,locked,3600,Indoor,900,0,0,10002,434,136.937711,35.148667,60,0.0529
196094,9,-1,2,LTE,19609492,LTEIndoor19609492,Unlocked,3600,Indoor,900,0,0,10002,431,136.937711,35.148667,60,0.0867
196102,9,-1,1,LTE,19610291,LTEIndoor19610291,Unlocked,3600,Indoor,900,0,0,10005,418,136.932283,35.159329,60,0.0004
196102,9,10,2,LTE,19610292,LTEOutdoor19610292,Unlocked,3600,Outdoor,900,2,1,10005,432,136.932283,35.159329,60,0.076
196103,9,-1,1,LTE,19610391,LTEIndoor19610391,Unlocked,3600,IBS,900,0,0,10004,414,136.912551,35.159107,60,0.642
196103,9,10,2,LTE,19610392,LTEOutdoor19610392,Unlocked,3600,IBS,900,0,0,10004,440,136.912134,35.159296,60,0.0426
196119,9,270,2,LTE,19611992,LTEOutdoor19611992,Unlocked,3600,Outdoor,900,22,11,10003,87,136.910601,35.147267,60,0.0932
196150,9,-1,1,LTE,19615091,LTEIndoor19615091,locked,3600,Indoor,900,0,0,10003,420,136.907411,35.153537,60,0.0563
196150,9,-1,2,LTE,19615092,LTEIndoor19615092,Unlocked,3600,Indoor,900,0,0,10003,422,136.907411,35.153537,60,0.0428
